img_no,lime,gradcam
1,0.21787653327971043,0.2290141773821299
2,0.12023399684207801,0.051873124951921847
3,0.11595220216135035,0.0637172276831161
4,0.15477952056821545,0.16290297461454603
5,0.175354609929078,0.04979459227237333
6,0.1803187028235952,0.029504268384004793
7,0.21469859620148637,0.2376879212026957
8,0.07175852331170167,0.12611696946597215
9,0.2840373499333037,0.14982053440864979
10,0.0798833951007864,0.02833674172664309
11,0.19699653301175762,0.23401779197980158
12,0.09305873379099924,0.0853429560523382
13,0.11007551928568322,0.04685859949017844
14,0.1650800988053794,0.15699297195940626
15,0.23011617515638963,0.18478325681235466
16,0.16951160334541718,0.10838064570799084
17,0.056425651969472274,0.0036543249538189704
18,0.27693815864716936,0.35153087701089775
19,0.22567348263550796,0.008511036288814066
20,0.11201120227748781,0.08961326855265728
21,0.3126909025573456,0.37050026469031233
22,0.1259600057962614,0.05908259930197773
23,0.174943993482878,0.2237919553675875
24,0.11914584939021626,0.15419988201303908
25,0.12176827322055538,0.3362173308826826
26,0.07477994927644338,0.15893893451675736
27,0.2772178308013282,0.1487958275809173
28,0.12337670761925766,0.03842344515834117
29,0.17084188911704312,0.018289484815159462
30,0.13804585950051118,0.1822890277543208
31,0.029595649439532388,0.3105871081066695
32,0.1316283694211224,0.09012546562134395
33,0.03893943332466857,0.3656609195402299
34,0.03894386945682556,0.11630365827870585
35,0.14527761438326386,0.12575397080573597
36,0.08655890623928301,0.07023494787249962
37,0.2936449579831933,0.1421772754312909
38,0.2340214602285981,0.2558410266128814
39,0.1170847065334977,0.11467720490471266
40,0.024686221482560156,0.18968935888962327
41,0.09310418741883014,0.044235347753406616
42,0.07655134071761537,0.19989681265764733
43,0.13219376840143188,0.16115491651205938
44,0.1686112012832019,0.06626073804029553
45,0.24412961000786138,0.1085007204000339
46,0.14030688145534917,0.1252158512286916
47,0.10451705910619895,0.13869692281244628
48,0.07663684368929383,0.0509058019924944
49,0.2190520170201537,0.22571230527890263
50,0.20024595203935233,0.11271251661652557
51,0.07712202503783189,0.19540339500286097
52,0.14895237266378017,0.07153910775080692
53,0.26916981592100453,0.23136393229166666
54,0.11008297943353014,0.20196236895723538
55,0.14154100082526822,0.11430548195254078
56,0.08042573713311575,0.08384288294757156
57,0.1685725044095206,0.07740681227558571
58,0.2192627824019025,0.4004624974864267
59,0.11684508428694475,0.19626764698373797
60,0.12283368805107936,0.1455068162848929
61,0.2146267361111111,0.19104061851567608
62,0.13779323962202059,0.16861851925947585
63,0.10494818274704423,0.06911480808539631
64,0.15030048076923078,0.15899220747220255
65,0.2434051881622214,0.035341884285318814
66,0.4944139966273187,0.10480887792848335
67,0.14044002282128085,0.13429150085275726
68,0.12283842204809511,0.14274302430243024
69,0.20910332271279017,0.15273487188806106
70,0.2596423935995041,0.015855339908792024
71,0.17387081107333657,0.1325713622650267
72,0.27571257723739284,0.20332880092662536
73,0.10494784932333419,0.1385670456596282
74,0.10539398458861546,0.15973366437196704
75,0.18289751620657002,0.10399670683332086
76,0.12062606580564993,0.09696519164808222
77,0.309349879267659,0.061231897208812745
78,0.33524092129433375,0.17093636296131284
79,0.0908259676927766,0.06835474475627103
80,0.17425636669655356,0.12929047131147542
81,0.0,0.07249150972522383
82,0.09611333768291547,0.08136133470515847
83,0.1487119830874375,0.1537566693884856
84,0.2839665718962695,0.03490665727368792
85,0.047888550282977796,0.02631040131040131
86,0.1516357568794792,0.13906470001230298
87,0.15293031150159744,0.10824896887889014
88,0.13619176975881941,0.09037136867325546
89,0.19640958364979633,0.11464602254075938
90,0.2153333523196537,0.23337629620950262
91,0.13380192157503767,0.03216654318087356
92,0.15275960106503,0.10344060507192644
93,0.13072729091636653,0.09519581853648777
94,0.12128940422881884,0.00024246342843287804
95,0.1802456951406384,0.03214272080624022
96,0.07730876628008887,0.13502838805233275
97,0.11344329896907217,0.17827379501925045
98,0.13577852230647153,0.09396917578735761
99,0.3066579144786197,0.17699781438830423
100,0.19452856854431658,0.25853368952211336
101,0.039580939506590064,0.048001256988726385
102,0.16832820592702208,0.08074374316412533
103,0.12289997415352805,0.10550336253035177
104,0.021581808240326784,0.287164487267722
105,0.11574278349318409,0.18151415556708758
106,0.05075628892663593,0.11305381089797997
107,0.11212402545832821,0.05891432981733985
108,0.15962563062850676,0.021265858438860658
109,0.3062069445410897,0.3078546487087986
110,0.07986895116660025,0.0157856093979442
111,0.04552670010794336,0.16166564605021433
112,0.32529449219993634,0.2460108329673547
113,0.11291414781891383,0.07863782384052571
114,0.14886929592438092,0.13598860058376042
115,0.06716383975262608,0.1769432101771258
116,0.15626104011597453,0.14890379866809667
117,0.25553260548834467,0.2565615114986749
118,0.2590599493385871,0.08576283010588143
119,0.1137403786145205,0.01267500621323834
120,0.11604745925215725,0.16480233280749557
121,0.1673052362707535,0.0889539813458722
122,0.13813295009784735,0.12512244006088097
123,0.20364516779877598,0.23204948566351116
124,0.16300291186482385,0.18610496080426067
125,0.07958086918112439,0.14504822958480618
126,0.010996631662373687,0.13779415934221717
127,0.20143683895430053,0.22033898305084745
128,0.31322629655483925,0.06820755085308242
129,0.11548227535037098,0.14251773948302077
130,0.21411641883694027,0.06607155508324478
131,0.2644523998939273,0.3515348288075561
132,0.16500421670980311,0.03556785835531298
133,0.3413108383488934,0.21434475158416752
134,0.01958664546899841,0.35043250854958763
135,0.13134792754750527,0.37273254369253705
136,0.07527386541471048,0.34661841904082363
137,0.04763069896419542,0.12978396754030047
138,0.1423740671641791,0.16878241349949685
139,0.24540494977639374,0.03499365400056984
140,0.16464634576909498,0.041217415040262044
141,0.09654740557310791,0.31671824344238136
142,0.22989827877712796,0.16730551802112345
143,0.1707075705096487,0.11436299538050085
144,0.2265668675072986,0.17587228883200862
145,0.03301160283396653,0.1528003965163209
146,0.00976620301864457,0.014304151430415144
147,0.5216981132075472,0.2760486240983169
148,0.0328608620190917,0.1537178417912363
149,0.10311472456195667,0.12035796701750436
150,0.00658767353435317,0.0
151,0.2607835107835108,0.0
152,0.15151981804828354,0.09430248414062962
153,0.1799107492366711,0.060296363951309384
154,0.12445528455284553,0.20807943068990498
155,0.13898196904419977,0.13104046101628697
156,0.09890360244909582,0.25208492661786663
157,0.12931166641116051,0.07599590188633762
158,0.07527361751152074,0.10303964059957667
159,0.12745125543554495,0.2955269253039954
160,0.18996852472332215,0.15651921200672575
